"","week","obsCount","nLists","region"
"329",47,134,64,"SAUS"
"330",48,40,59,"SAUS"
"331",49,113,65,"SAUS"
"332",50,125,69,"SAUS"
"333",51,127,72,"SAUS"
"334",52,150,76,"SAUS"
"335",53,4,19,"SAUS"
"336",1,0,4,"YS-NK"
"337",2,0,4,"YS-NK"
"338",3,0,5,"YS-NK"
"339",4,1,3,"YS-NK"
"340",5,0,4,"YS-NK"
"341",6,0,3,"YS-NK"
"342",7,0,2,"YS-NK"
"343",8,0,7,"YS-NK"
"344",9,0,6,"YS-NK"
"345",10,0,5,"YS-NK"
"346",11,0,8,"YS-NK"
"347",12,2,6,"YS-NK"
"348",13,17,13,"YS-NK"
"349",14,53,19,"YS-NK"
"350",15,73,44,"YS-NK"
"351",16,3071,29,"YS-NK"
"352",17,115,35,"YS-NK"
"353",18,58,31,"YS-NK"
"354",19,39,40,"YS-NK"
"355",20,14,31,"YS-NK"
"356",21,38,30,"YS-NK"
"357",22,26,23,"YS-NK"
"358",23,16,10,"YS-NK"
"359",24,345,7,"YS-NK"
"360",25,2,3,"YS-NK"
"361",26,30,6,"YS-NK"
"362",27,18,3,"YS-NK"
"363",28,0,3,"YS-NK"
"364",29,11,3,"YS-NK"
"365",30,1,6,"YS-NK"
"366",31,20,12,"YS-NK"
"367",32,114,10,"YS-NK"
"368",33,60,16,"YS-NK"
"369",34,11,16,"YS-NK"
"370",35,7,14,"YS-NK"
"371",36,23,17,"YS-NK"
"372",37,24,15,"YS-NK"
"373",38,45,15,"YS-NK"
"374",39,12,12,"YS-NK"
"375",40,22,14,"YS-NK"
"376",41,41,10,"YS-NK"
"377",42,28,10,"YS-NK"
"378",43,6,13,"YS-NK"
"379",44,4,14,"YS-NK"
"380",45,23,9,"YS-NK"
"381",46,20,9,"YS-NK"
"382",47,0,6,"YS-NK"
"383",48,0,3,"YS-NK"
"384",49,0,5,"YS-NK"
"385",50,0,2,"YS-NK"
"386",51,0,3,"YS-NK"
"387",52,0,4,"YS-NK"
"388",53,0,2,"YS-NK"
